               6627686.3463316                108737.0000000
               6626325.6273750                217459.1182520
               6624058.5687146                326151.4927449
               6620886.3777862                434799.3008685
               6616810.7410815                543387.7789313
               6611833.8202538                651902.2414604
               6605958.2471471                760328.1002147
               6599187.1177737                868650.8828415
               6591523.9852715                976856.2511123
               6582972.8518782               1084930.0186754
               6573538.1599622               1192858.1682652
               6563224.7821558               1300626.8683142
               6552038.0106403               1408222.4889148
               6539983.5456348               1515631.6170860
               6527067.4831452               1622841.0713009
               6513296.3020296               1729837.9152387
               6498676.8504433               1836609.4707273
               6483216.3317227               1943143.3298510
               6466922.2897715               2049427.3661980
               6449802.5940139               2155449.7452326
               6431865.4239773               2261198.9337779
               6413119.2535688               2366663.7086022
               6393572.8351076               2471833.1641054
               6373235.1831759               2576696.7191076
               6352115.5583482               2681244.1227459
               6330223.4508576               2785465.4594889
               6307568.5642562               2889351.1532828
               6284160.7991221               2992891.9708484
               6260010.2368672               3096079.0241470
               6235127.1236927               3198903.7720418
               6209521.8547383               3301358.0211797
               6183204.9584688               3403433.9261231
               6156187.0813374               3505123.9887626
               6128478.9727618               3606421.0570435
               6100091.4704461               3707318.3230405
               6071035.4860789               3807809.3204151
               6041321.9914344               3907887.9212936
               6010962.0048980               4007548.3326005
               5979966.5784395               4106785.0918866
               5948346.7850480               4205593.0626873
               5916113.7066452               4303967.4294493
               5883278.4224866               4401903.6920627
               5849851.9980596               4499397.6600330
               5815845.4744859               4596445.4463317
               5781269.8584291               4693043.4609568
               5746136.1125110               4789188.4042394
               5710455.1462349               4884877.2599282
               5674237.8074130               4980107.2880832
               5637494.8740935               5074876.0178089
               5600237.0469808               5169181.2398559
               5562474.9423418               5263020.9991186
               5524219.0853879               5356393.5870539
               5485479.9041237               5449297.5340474
               5446267.7236510               5541731.6017475
               5406592.7609143               5633694.7753918
               5366465.1198770               5725186.2561439
               5325894.7871136               5816205.4534600
               5284891.6278030               5906751.9775024
               5243465.3821102               5996825.6316165
               5201625.6619398               6086426.4048848
               5159381.9480469               6175554.4647708
               5116743.5874909               6264210.1498671
               5073719.7914150               6352393.9627552
               5030319.6331385               6440106.5629888
               4986552.0465449               6527348.7602086
               4942425.8247522               6614121.5073953
               4897949.6190488               6700425.8942681
               4853131.9380830               6786263.1408336
               4807981.1472894               6871634.5910897
               4762505.4685399               6956541.7068886
               4716712.9800050               7040986.0619620
               4670611.6162121               7124969.3361099
               4624209.1682888               7208493.3095553
               4577513.2843783               7291559.8574662
               4530531.4702147               7374170.9446440
               4483271.0898470               7456328.6203796
               4435739.3665016               7538035.0134758
               4387943.3835710               7619292.3274351
               4339890.0857200               7700102.8358121
               4291586.2800992               7780468.8777279
               4243038.6376564               7860392.8535447
               4194253.6945374               7939877.2206994
               4145237.8535681               8018924.4896917
               4095997.3858087               8097537.2202253
               4046538.4321745               8175718.0174991
               3996867.0051143               8253469.5286445
               3946988.9903410               8330794.4393067
               3896910.1486069               8407695.4703654
               3846636.1175193               8484175.3747928
               3796172.4133889               8560236.9346435
               3745524.4331080               8635882.9581753
               3694697.4560508               8711116.2770946
               3643696.6459941               8785939.7439247
               3592527.0530519               8860356.2294921
               3541193.6156211               8934368.6205284
               3489701.1623343               9007979.8173831
               3438054.4140154               9081192.7318435
               3386257.9856369               9154010.2850600
               3334316.3882733               9226435.4055709
               3282234.0310496               9298471.0274244
               3230015.2230824               9370120.0883951
               3177664.1754103               9441385.5282896
               3125185.0029119               9512270.2873400
               3072581.7262102               9582777.3046808
               3019858.2735604               9652909.5169064
               2967018.4827205               9722669.8567060
               2914066.1028028               9792061.2515735
               2861004.7961050               9861086.6225879
               2807838.1399199               9929748.8832639
               2754569.6283226               9998050.9384667
               2701202.6739341              10065995.6833913
               2647740.6096612              10133586.0026017
               2594186.6904105              10200824.7691286
               2540544.0947780              10267714.8436222
               2486815.9267117              10334259.0735582
               2433005.2171484              10400460.2924953
               2379114.9256230              10466321.3193806
               2325147.9418513              10531844.9579023
               2271107.0872853              10597033.9958855
               2216995.1166405              10661891.2047321
               2162814.7193966              10726419.3389001
               2108568.5212696              10790621.1354215
               2054259.0856568              10854499.3134579
               1999888.9150542              10918056.5738901
               1945460.4524466              10981295.5989419
               1890976.0826695              11044219.0518356
               1836438.1337452              11106829.5764778
               1781848.8781905              11169129.7971739
               1727210.5342987              11231122.3183702
               1672525.2673945              11292809.7244220
               1617795.1910629              11354194.5793867
               1563022.3683518              11415279.4268400
               1508208.8129498              11476066.7897149
               1453356.4903371              11536559.1701616
               1398467.3189133              11596759.0494274
               1343543.1710991              11656668.8877559
               1288585.8744144              11716291.1243043
               1233597.2125323              11775628.1770773
               1178578.9263094              11834682.4428776
               1123532.7147935              11893456.2972715
               1068460.2362081              11951952.0945685
               1013363.1089141              12010172.1678157
                958242.9123507              12068118.8288035
                903101.1879537              12125794.3680846
                847939.4400531              12183201.0550037
                792759.1367497              12240341.1377387
                737561.7107716              12297216.8433506
                682348.5603104              12353830.3778449
                627121.0498382              12410183.9262399
                571880.5109050              12466279.6526447
                516628.2429177              12522119.7003443
                461365.5139005              12577706.1918926
                406093.5612372              12633041.2292116
                350813.5923964              12688126.8936975
                295526.7856385              12742965.2463326
                240234.2907070              12797558.3278022
                184937.2295023              12851908.1586178
                129636.6967398              12906016.7392438
                 74333.7605923              12959886.0502296
                 19029.4633171              13013518.0523451
                -36275.1781326              13066914.6867200
                -91579.1715106              13120077.8749873
               -146881.5486945              13173009.5194288
               -202181.3651176              13225711.5031245
               -257477.6992138              13278185.6901037
               -312769.6518761              13330433.9254994
